Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,Company,Company_age,python,R,spark,aws,excel,visualization,ml,database,pipelines,cloud,security,sql,etl,html,nosql,javasript,css,azure,hadoop,mlops,flask,django,apache,data_mining
Risk Advisory Data Analytics Analyst,₹4L - ₹5L (Glassdoor Est.),"job description



we are looking for candidates at analyst associate consultant and consultant roles


qualifications



btechbca holding  years of post qualification experience",4.0,"KPMG
4.0",Bengaluru,10000+ Employees,1987,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD),0,0,4.0,5.0,4.5,"KPMG
",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,₹3L - ₹3L (Glassdoor Est.),"job description


about satsure

satsure is a deep tech decision intelligence company that works primarily at the nexus of agriculture infrastructure and climate action creating an impact for the other millions focusing on the developing world we want to make insights from earth observation data accessible to all

we are looking for a talented data analyst to join our team the ideal candidate should have experience in business intelligence tools like tableau and a strong passion for working with data to drive business decisions as a data analyst you will be responsible for analyzing large sets of data creating reports providing actionable insights and ensuring data quality

if you are interested in working in an environment that focuses on the impact on society driven by cuttingedge technology and where you will have the freedom to work on innovative ideas and be creative with no hierarchies satsure is the place for you

roles and responsibilities

data analysis analyze large and complex data sets to identify trends patterns and insights utilize statistical techniques and data mining methods to extract meaningful information from structured and unstructured data

dashboard development develop interactive and visually appealing dashboards using tableau to effectively represent data and facilitate datadriven decisionmaking across the organization ensure dashboards are userfriendly accessible and meet business requirements

report generation design and create comprehensive reports that summarize data analysis findings key metrics and actionable recommendations present datadriven insights to stakeholders in a clear and concise manner

data visualization utilize tableaus advanced features to create visually compelling charts graphs and maps that effectively communicate complex data to diverse audiences apply best practices in data visualization to ensure clarity and accuracy

data quality assurance ensure the accuracy completeness and integrity of data used in analysis and reporting conduct data validation and reconciliation processes to identify and resolve data inconsistencies or errors

stakeholder collaboration collaborate with crossfunctional teams including business stakeholders data engineers and data scientists to understand business requirements data needs and project objectives translate business questions into data analysis tasks and deliver actionable insights

requirements

experience

 years of working experience as data analyst with a strong focus on tableau and power bi

strong analytical and problemsolving skills with a keen attention to detail

proficient in sql and excel with the ability to write complex queries

ability to work independently and in a team environment

education qualification

the ideal candidate would be from a mathematics statistics computer science or a related discipline with

benefits

why us

opportunity to work on a unique and futuristic technology setup

flat organizational structure and accessibility

best in class leave policy

additional allowances for learning skill development broadband medical insurance cover etc


department name


strategy

industry


business management

city


bangalore

stateprovince


karnataka

country


india

zippostal code",4.5,"SatSure Analytics India
4.5",Bengaluru,51 to 200 Employees,2017,Company - Private,Aerospace & Defence,Aerospace & Defence,Unknown / Non-Applicable,0,0,3.0,3.0,3.0,"SatSure Analytics India
",6,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Data Analyst,₹7L - ₹7L (Glassdoor Est.),"target is an iconic brand a fortune  company and one of americas leading retailers

behind one of the worlds bestloved brands is a uniquely capable and brilliant team of data scientists engineers and analysts the target data analytics team creates the tools and data products to sustainably educate and enable our business partners to make great databased decisions we help develop the technology that personalizes the guest experience from product recommendations to relevant ad content we are also the source of the data and analytics behind targets internet of things iot applications fraud detection supply chain optimization and demand forecasting we play a key role in identifying the testandmeasure or ab test opportunities that continuously help target improve the guest experience whether they love to shop in stores or at targetcom

a role with 
data analytics da
 means being a part of the team that works closely with the business and identifies problems  opportunities for improved decisionmaking through better data analysis this covers the whole gamut from simple descriptive analysis to more complex predictive and prescriptive analytics using advanced modeling and machine learning techniques primarily using open source technologies and big data platforms the emphasis is on actionable insights which is possible through a combination of technical skills and business understanding

as data analyst in data analytics you will work closely with businessproduct teams and understand their prioritiesroadmap based on this understanding you are expected to identify appropriate metrics that will drive the right decisions for the business and then build reporting solutions to deliver these metrics at the required frequency in an optimal and reliable fashion you will also answer adhoc questions from your business users by conducting quick analysis on relevant data identify trends and correlations and form hypotheses to explain the observations some of these will lead to bigger analytical projects of increasing complexity where you will work initially as a part of a bigger team but also work independently as you gain more experience finally you are expected to always adhere to project schedule and technical rigor as well as requirements for documentation code versioning etc

core responsibilities are described within this job description job duties may change at any time due to business needs

about you

 years of experience into data analyst role

btech  be or masters in statistics econometricsmathematics equivalent

very strong sql or plsql programming skills

big data experience

exposure to r python hive or other open source languages

understanding of foundational mathematics and statistics

conceptual understanding of analytical techniques like linear regression logistic regression timeseries models classification techniques etc

strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertise

handson experience in analytics  data science preferable

any experience with retail merchandising marketing will be strong addons



qualifications",4.3,"TARGET
4.3",Bengaluru,1001 to 5000 Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable,0,0,7.0,7.0,7.0,"TARGET
",61,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,₹5L - ₹10L (Glassdoor Est.),"about saltmine




saltmine is a rapidly growing technology firm in the commercial real estate space disrupting the b workspace designbuild market we are applying modern technology to transform the process by which office design is done from workplace strategy to programming to design and procurement with deep roots in technology and architecture design weve built a first of its kind saas platform that empowers occupiers and their business partners to design inspiring and efficient space

the company is headquartered in downtown san francisco with offices in nyc boston washington dc budapest vietnam india and singapore with an incredibly talented group of employees from the likes of wework perkins  will and many more we have closed our series a funding round one of the biggest in southeast asia from marquee vc firms from singapore  us

role overview



we are looking for a 
data analyst
 who will drive influential decisions with creating and maintaining dashboards to review operational efficiencies and drive decisioning quality throughout our business and other partners

what will you do




manage and maintain client data portfolio and updates


extract and maintain quantitative reasoning data for all client project portfolios


collaborate with the data team and design team to review and evaluate project scope


develop run self qc templates for all implementation data assignments reasoning and analytics


validating the accuracy of the data being collected


writing and implementing scripts for data processing





what will you need




bachelors or masters degree in commerce business management information management or statistics


 years experience in workplace  design should be ready to unlearn and take up the nontraditional design delivery approach


with a quest to be an outrunner and innovator


should be self motivated work in a team as well as propel them towards excellence


experience in an online product company outsourcing company or startup environment


strong digital product knowledge and ability to perform detailed requirement gatheringmanagement work mostly independently


strong written and oral communication skills with the ability to communicate appropriately in business and technical situations at all levels


ability to collect organize analyze and disseminate significant amounts of information with attention to detail and accuracy


ability to multitask in a fastpaced environment


efficient in microsoft office google suite excel spreadsheet slides  doc


experience with analytical tools is a plus",4.9,"Saltmine
4.9",Bengaluru,51 to 200 Employees,2017,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$1 to $5 million (USD),0,0,5.0,10.0,7.5,"Saltmine
",6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,₹5L - ₹8L (Glassdoor Est.),"aufgaben

education mastersbachelors in computerselectrical  electronics or equivalent engineering 


good analytics skills


technical skilss




strong programming skills in python


strong in sql


strong in power bi


data modeling etl

qualifikationen

education mastersbachelors in computerselectrical  electronics or equivalent engineering 


good analytics skills


technical skilss




strong programming skills in python


strong in sql


strong in power bi


data modeling etl",4.0,"Mercedes-Benz Research and Development India Private Limited
4.0",Bengaluru,5001 to 10000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),0,0,5.0,8.0,6.5,"Mercedes-Benz Research and Development India Private Limited
",27,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Data Analytics - Analyst,₹5L - ₹6L (Glassdoor Est.),"you are a strategic thinker passionate about driving solutions you have found the right team




job responsibilities



define monitor and report key managements metrics around the health of an operations program

manage a highvolume and highcomplexity reporting  dashboarding book of work leveraging rigorous project management discipline

partner with senior leaders in advancing the business analysis and reporting agenda focused on insights delivery in areas around operational efficiency cost modeling capacity planning quality enhancements etc

define design and deliver on high priority strategic initiatives with senior level visibility in areas above  ranging from delivering business initiatives to engineering enabling capabilities

develop a deep understanding of systems and processes in order to extract insights from existing data while identifying and recommending it enhancements to improve data quality

develop strong partnerships with it application owners and data management teams to align on a roadmap for continual improvement while providing support around inflight projects



required qualifications capabilities and skills



 to  years of experience preferably in financial services or commercial banking

need hands on experience with

programming languages sql pythonr

data visualization tool qlik sense tableau

analytical tools eg alteryx

knowledge of distributed file systems eg hadoop hive jira  ms office is plus

graduatepost graduate preferably with computerfinancestatistics as core areas



preferred qualifications capabilities and skills



ability to understand business problemsprocesses and design solutionsmethodologies that are rooted in data

ability to design and execute repeatable and scalable data solutions extraction  mining  modeling  visualization

effectively communicate insightsrecommendations verbal and written

team player with a demonstrated strong work ethic

jpmorgan chase  co one of the oldest financial institutions offers innovative financial solutions to millions of consumers small businesses and many of the worlds most prominent corporate institutional and government clients under the jp morgan and chase brands our history spans over  years and today we are a leader in investment banking consumer and small business banking commercial banking financial transaction processing and asset management

we recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success we are an equal opportunity employer and place a high value on diversity and inclusion at our company we do not discriminate on the basis of any protected attribute including race religion color national origin gender sexual orientation gender identity gender expression age marital or veteran status pregnancy or disability or any other basis protected under applicable law in accordance with applicable law we make reasonable accommodations for applicants and employees religious practices and beliefs as well as any mental health or physical disability needs",4.0,"JPMorgan Chase Bank, N.A.
4.0",Bengaluru,10000+ Employees,1799,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),0,0,5.0,6.0,5.5,"JPMorgan Chase Bank, N.A.
",224,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Client Data Analyst,₹5L - ₹6L (Glassdoor Est.),"as a client data analyst you will promote excellence diversity quality respect inclusivity and drive their own self development effective communication skills are a key part of this role as it requires building and maintain strong working relationships in a changeable environment




job responsibilities



manage own kyc renewals book of work and oversee the process end to end

work closely with the front office and the relationship partner teams and potentially direct with clients as required to

obtain all necessary supporting evidence to fulfil kyc due diligence

liaise regularly with the business to conduct workload planning review status of key renewals and prioritize open requests

frequently interact with key stakeholders such as front office compliance quality control and relationship partners

teams to develop strong partnerships eliminate roadblocks and ensure continuity of information flow across the groups

create quality kyc profiles ensuring accuracy completeness and validity incorporating multiple risk factors in

compliance with global regulatory requirements

manage personal workload and priority items and ensure timely escalation of key risksissues to management

keep informed of any changes to processes and procedures regulatory change and ensure open verbal dialogue with

colleagues across the na region

identify and execute process improvements provide guidance and support on key process and technology initiatives to

the business

maintain a globally agreed quality pass rate for kyc records reviewed by quality control and sampled by quality assurance


required qualifications skills and capabilities



a working knowledge of kyccomplianceaml procedures and standards

university degree or equivalent

knowledge of multiple client types ie corporates nonbanking financial institutions banks foreign correspondent

banks nonoperatingasset holding companies governments organizations publicly traded companies small and

large privately held operating companies

knowledge of financial industry

able to demonstrate strong verbal and written communication skills with experience of conflict resolution

possesses strong time management organizational relationship building skills

quality focused work ethic and strong controls mindset

adaptable to work in an evolving and changeable environment

proactively manage and drive forward own career identifying personal training needs for development

jpmorgan chase  co one of the oldest financial institutions offers innovative financial solutions to millions of consumers small businesses and many of the worlds most prominent corporate institutional and government clients under the jp morgan and chase brands our history spans over  years and today we are a leader in investment banking consumer and small business banking commercial banking financial transaction processing and asset management

we recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success we are an equal opportunity employer and place a high value on diversity and inclusion at our company we do not discriminate on the basis of any protected attribute including race religion color national origin gender sexual orientation gender identity gender expression age marital or veteran status pregnancy or disability or any other basis protected under applicable law in accordance with applicable law we make reasonable accommodations for applicants and employees religious practices and beliefs as well as any mental health or physical disability needs",4.0,"JPMorgan Chase Bank, N.A.
4.0",Bengaluru,10000+ Employees,1799,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),0,0,5.0,6.0,5.5,"JPMorgan Chase Bank, N.A.
",224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,₹4L - ₹7L (Glassdoor Est.),"overview

role title

data analyst

reports to

project manager database lead

direct reports

na

indirect reports

upto n

na

role purpose

the purpose of this role is to interpret data and turn intoinformation reports dashboards interactive visualizations etc whichcan offer ways to improve a business thus affecting business decisions

do

managing the technical scope of the project in line with therequirements at all stages

gather information from various sources data warehousesdatabase data integration and modelling and interpret patterns andtrends

develop record management process and policies

build and maintain relationships at all levels within the clientbase and understand their requirements

providing sales data proposals data insights and accountreviews to the client base

identify areas to increase efficiency and automation ofprocesses

set up and maintain automated data processes

identify evaluate and implement external services and tools tosupport data validation and cleansing

produce and track key performance indicators

analyze the data sets and provide adequate information

liaise with internal and external clients to fully understanddata content

design and carry out surveys and analyze survey data as per thecustomer requirement

analyze and interpret complex data sets relating tocustomers business and prepare reports for internal and externalaudiences using business analytics reporting tools

create data dashboards graphs and visualization to showcasebusiness performance and also p
rovide sector and competitorbenchmarking

mine and analyze large datasets draw valid inferences andpresent them successfully to management using a reporting tool

develop predictive models and share insights with the clients asper their requirement


stakeholder interaction

stakeholder type

stakeholder identification

purpose of interaction

internal

project manager database lead

regular reporting  updates

external

clients

client engagement reviews etc

display

lists the competencies required to perform this role effectively

functional competencies skill

leveraging technology  knowledge of current and upcomingtechnology automation tools and systems to build efficiencies andeffectiveness in own function client organization  
expert

process excellence  ability to follow the standards and norms toproduce consistent results provide effective control and reduction ofrisk 
 expert

technical knowledge  knowledge of various programminglanguages software python microsoft excel vba matlab sql etc andtools on data analytics  
expert

competency levels

foundation

knowledgeable about the competency requirements demonstrates inparts frequently with minimal support and guidance

competent

consistently demonstrates the full range of the competencywithout guidance extends the competency to difficult and unknownsituations as well

expert

applies the competency in all situations and is serves as a guideto others as well

master

coaches others and builds organizational capability in thecompetency area serves as a key resource for that competency and isrecognised within the entire organization

behavioral competencies

formulation prioritization

client centricity

execution excellence

passion for results

confidence

business acumen

deliver

no

performance parameter

measure



analyses data sets and provide relevant information to the client

no of automation done ontime delivery csat score zero customerescalation data accuracy",3.7,"Wipro Limited
3.7",Bengaluru,10000+ Employees,1945,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,0,4.0,7.0,5.5,"Wipro Limited
",78,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Employer Provided Salary:₹25T - ₹35T,"job description
a market research analyst is a professional who collects data from multiple sources and uses it to forecast trends to try and predict where the market will go in the future they use current trends then compare them with future expectations to make strategic decisions about where resources should go next
job responsibilities
collecting data on consumers competitors and market place and consolidating information into actionable items reports and presentations
understanding business objectives and designing surveys to discover prospective customers preferences
compiling and analyzing statistical data using modern and traditional methods to collect it  perform valid and reliable market research swot analysis
interpret data formulate reports and make recommendations
use online market research and catalogue findings to databases
provide competitive analysis on various companies market offerings identify market trends pricingbusiness models sales and methods of operation
evaluate program methodology and key data to ensure that data on the releases are accurate and the angle of the release is correct
remain fully informed on market trends other parties researches and implement best practices
job type fulltime
salary    per month
benefits
provident fund
schedule
day shift
ability to commuterelocate
banglore karnataka reliably commute or planning to relocate before starting work required
experience
 yrs  year preferred
speak with the employer",-1.0,Hustle hub,Bengaluru,-1,-1,-1,-1,-1,-1,0,1,3.0,4.2,3.6,Hustle hub,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Data Analyst, VP",₹4L - ₹8L (Glassdoor Est.),"our people work differently depending on their jobs and needs from hybrid working to flexible hours we have plenty of options that help our people to thrive


this role is based in india and as such all normal working days must be carried out in india


join us as a data analyst

take on a new challenge in a cuttingedge data team and manage the analysis of complex bank franchise or function data to identify business issues and opportunities

well look to you to provide highquality analytical input to help develop and implement innovative processes and resolve problems across our bank

by working in an innovative team youll be able to hone your data analysis expertise and gain valuable experience in a fastpaced area of our business

were offering this role at vice president level and youll work a uk shift between  am   pm

what youll do

as a data analyst youll be supporting the delivery of highquality business solutions youll be performing data extraction storage manipulation processing and analysis alongside developing and performing standard queries to enhance our data quality and identify data inconsistencies and missing data

your top priorities will include

collecting profiling and mapping appropriate data to use in new or existing solutions and ongoing data activities

identifying and documenting data migration paths and processes and standardising data naming data definitions and modelling

interpreting our customers needs and turning them into functional or data requirements and process models

building and maintaining collaborative partnerships with key business stakeholders

the skills youll need

well need you to have experience of fraud using data analysis tools and delivering data analysis in a technology or it function

furthermore youll need

an indepth understanding of the interrelationships of data and multiple data domains

a background of delivering research thats based on qualitative and quantitative data across a range of subjects

excellent communication and interpersonal skills",4.0,"NatWest Group
4.0",Bengaluru,10000+ Employees,1727,Company - Public,Banking & Lending,Finance,$10+ billion (USD),0,0,4.0,8.0,6.0,"NatWest Group
",296,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
